year,ind1990,count,total_count,share,percentage
1968,612,60,3875,0.015483870967741935,1.5483870967741935
1968,621,28,3875,0.007225806451612903,0.7225806451612903
1968,623,25,3875,0.0064516129032258064,0.6451612903225806
1968,630,6,3875,0.0015483870967741935,0.15483870967741936
1968,631,10,3875,0.0025806451612903226,0.25806451612903225
1968,632,9,3875,0.00232258064516129,0.23225806451612901
1968,641,101,3875,0.026064516129032256,2.606451612903226
1968,642,23,3875,0.005935483870967742,0.5935483870967742
1968,650,5,3875,0.0012903225806451613,0.12903225806451613
1968,660,6,3875,0.0015483870967741935,0.15483870967741936
1968,672,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,681,1,3875,2.5806451612903227e-4,0.025806451612903226
1968,682,16,3875,0.004129032258064516,0.4129032258064516
1968,700,87,3875,0.022451612903225806,2.2451612903225806
